Gen	theta_1M	theta_2T	theta_3N	theta_4R	theta_5S	theta_6X	theta_7Y	tau_4R	tau_5S	tau_6X	tau_7Y	phi_X	phi_Y	lnL
5	0.001827	0.002328	0.016580	0.004219	0.004218	0.008735	0.005951	0.004828	0.003430	0.000624	0.000624	0.298305	0.058300	-156203.493
10	0.001785	0.002275	0.016716	0.004024	0.005125	0.007969	0.005914	0.004752	0.003036	0.000610	0.000610	0.316679	0.058300	-156136.275
15	0.001972	0.002513	0.016497	0.004640	0.006736	0.007738	0.005749	0.005165	0.003025	0.000673	0.000673	0.289508	0.024529	-156180.452
20	0.001897	0.002579	0.015543	0.004462	0.006292	0.007499	0.005529	0.004967	0.002661	0.000722	0.000722	0.235387	0.045944	-156143.741
25	0.001866	0.003165	0.014441	0.004390	0.006211	0.007513	0.005439	0.004886	0.002611	0.000710	0.000710	0.261605	0.067931	-156155.858
30	0.001866	0.002902	0.014251	0.004383	0.005950	0.008936	0.005439	0.005005	0.002694	0.000710	0.000710	0.260769	0.067931	-156206.597
35	0.001849	0.002876	0.014673	0.004343	0.005825	0.011525	0.006419	0.004960	0.002694	0.000704	0.000704	0.260769	0.067931	-156154.436
40	0.001597	0.002876	0.015538	0.004445	0.005542	0.011432	0.006860	0.004908	0.002795	0.000704	0.000704	0.219068	0.067931	-156206.739
45	0.001611	0.002933	0.015112	0.004369	0.005619	0.012879	0.007903	0.005002	0.002581	0.000688	0.000688	0.219068	0.101838	-156206.954
50	0.001583	0.002883	0.015477	0.004691	0.006008	0.012815	0.006923	0.004969	0.002543	0.000633	0.000633	0.155442	0.091059	-156159.077
55	0.001536	0.003023	0.015913	0.004634	0.005054	0.013687	0.007225	0.004778	0.002460	0.000683	0.000683	0.176424	0.106305	-156136.638
60	0.001611	0.003171	0.018587	0.004862	0.005223	0.013864	0.006908	0.005013	0.002609	0.000775	0.000775	0.196855	0.095295	-156174.823
65	0.001550	0.003051	0.017295	0.004677	0.005442	0.015457	0.006109	0.004823	0.002492	0.000746	0.000746	0.196855	0.079832	-156184.780
70	0.001512	0.002977	0.017833	0.004564	0.005906	0.017214	0.005150	0.004706	0.002411	0.000655	0.000655	0.195097	0.109530	-156176.292
75	0.001569	0.002706	0.015224	0.004736	0.005385	0.023716	0.004045	0.004884	0.002718	0.000590	0.000590	0.260037	0.109530	-156168.544
80	0.001226	0.002706	0.014219	0.005202	0.005852	0.028434	0.004955	0.004921	0.002545	0.000541	0.000541	0.216637	0.099703	-156211.476
85	0.001239	0.002987	0.013606	0.004684	0.005859	0.029219	0.005009	0.004952	0.002592	0.000520	0.000520	0.197540	0.090759	-156137.235
90	0.001246	0.003003	0.014639	0.004827	0.005992	0.030405	0.005089	0.004926	0.002675	0.000523	0.000523	0.173167	0.090759	-156165.501
95	0.001216	0.002517	0.013711	0.005063	0.005333	0.029826	0.004160	0.004650	0.002697	0.000510	0.000510	0.203435	0.071204	-156174.620
100	0.001209	0.002780	0.015152	0.004793	0.005356	0.028032	0.004135	0.004725	0.002659	0.000507	0.000507	0.179489	0.071204	-156182.836
105	0.001209	0.003360	0.015307	0.004885	0.005248	0.027284	0.004745	0.004686	0.002703	0.000507	0.000507	0.185630	0.071204	-156164.670
110	0.001184	0.002856	0.016157	0.004788	0.005838	0.024574	0.003880	0.004592	0.002563	0.000497	0.000497	0.201868	0.093026	-156151.155
115	0.001174	0.002831	0.014893	0.005218	0.005634	0.020221	0.003845	0.004585	0.002596	0.000539	0.000539	0.222856	0.093026	-156163.710
120	0.001177	0.003548	0.014413	0.005156	0.005685	0.018254	0.004466	0.004626	0.002589	0.000541	0.000541	0.222856	0.093026	-156158.026
125	0.001142	0.002897	0.013730	0.005072	0.007740	0.014959	0.003899	0.004459	0.002184	0.000525	0.000525	0.222856	0.076744	-156147.113
130	0.001142	0.002897	0.016046	0.004906	0.007102	0.012818	0.005661	0.004529	0.002311	0.000585	0.000585	0.230407	0.076744	-156143.237
135	0.001192	0.002283	0.018097	0.005120	0.007220	0.016104	0.006187	0.004726	0.002462	0.000467	0.000467	0.256541	0.062214	-156137.368
140	0.001175	0.002250	0.016525	0.005307	0.005950	0.018177	0.005636	0.004700	0.002570	0.000412	0.000412	0.270559	0.041550	-156149.429
145	0.001134	0.002172	0.015952	0.005562	0.005938	0.018606	0.005216	0.004563	0.002234	0.000366	0.000366	0.277780	0.041550	-156123.111
150	0.001221	0.002339	0.018636	0.005847	0.005842	0.019727	0.006482	0.004817	0.002244	0.000394	0.000394	0.350142	0.069418	-156151.043
155	0.001188	0.002276	0.015177	0.005342	0.005919	0.014646	0.006544	0.004689	0.002195	0.000490	0.000490	0.321961	0.069418	-156171.759
160	0.001213	0.002621	0.014684	0.005451	0.005690	0.011577	0.008199	0.004785	0.002439	0.000500	0.000500	0.356557	0.069418	-156195.367
165	0.001176	0.001712	0.013229	0.005552	0.005278	0.010260	0.008478	0.004531	0.002186	0.000485	0.000485	0.370295	0.069418	-156138.607
170	0.001192	0.001735	0.015733	0.005593	0.005740	0.014733	0.008604	0.004606	0.002182	0.000452	0.000452	0.358235	0.020008	-156198.733
175	0.001192	0.001735	0.014704	0.005593	0.005777	0.013802	0.008653	0.004606	0.002296	0.000521	0.000521	0.308887	0.005585	-156052.764
180	0.001240	0.001805	0.015737	0.005429	0.006362	0.011136	0.010456	0.004738	0.002285	0.000535	0.000535	0.238285	0.005585	-156141.590
185	0.001288	0.001874	0.014008	0.005253	0.006342	0.009063	0.008981	0.004739	0.002279	0.000556	0.000556	0.259257	0.005585	-156153.630
190	0.001288	0.001874	0.013920	0.005253	0.007103	0.006613	0.010403	0.004739	0.002269	0.000579	0.000579	0.243461	0.005585	-156182.416
195	0.001284	0.001869	0.013589	0.005239	0.008997	0.009416	0.007881	0.004726	0.001994	0.000525	0.000525	0.271776	0.005585	-156161.018
200	0.001256	0.001829	0.013245	0.004872	0.009787	0.010305	0.007432	0.004761	0.001893	0.000490	0.000490	0.239078	0.005585	-156157.222
205	0.001278	0.001860	0.012984	0.004799	0.007880	0.012491	0.007807	0.004929	0.002233	0.000498	0.000498	0.268633	0.036433	-156166.732
210	0.001241	0.002140	0.013091	0.005234	0.006702	0.011480	0.006838	0.004787	0.002198	0.000547	0.000547	0.252558	0.026976	-156174.668
215	0.001262	0.002176	0.013895	0.005320	0.007145	0.009473	0.007371	0.004868	0.002157	0.000519	0.000519	0.252558	0.026976	-156136.052
220	0.001275	0.002199	0.014040	0.005377	0.006126	0.011171	0.007299	0.004920	0.002245	0.000524	0.000524	0.216129	0.047277	-156179.602
225	0.001267	0.002186	0.014031	0.005315	0.007327	0.010429	0.006764	0.004804	0.002065	0.000521	0.000521	0.201393	0.077789	-156129.883
230	0.001221	0.002105	0.014449	0.005099	0.007117	0.008779	0.005652	0.004638	0.001994	0.000502	0.000502	0.214794	0.077789	-156134.607
235	0.001266	0.002183	0.015608	0.005492	0.006052	0.011582	0.006416	0.004709	0.002272	0.000461	0.000461	0.214794	0.077789	-156144.123
240	0.001266	0.002183	0.014431	0.005607	0.005685	0.008844	0.005040	0.004660	0.002388	0.000506	0.000506	0.190978	0.095061	-156167.653
